image,label,size,width,height,mode,format
0470.jpg,painting,13909,290,388,RGB,JPEG
497.jpg,iconography,444721,649,780,RGB,JPEG
i - 1188.jpeg,sculpture,37598,400,320,RGB,JPEG
727.jpg,iconography,357378,646,800,RGB,JPEG
1608.jpg,painting,10228,290,233,RGB,JPEG
91 18.59.20.jpg,iconography,95699,530,700,RGB,JPEG
i - 882.jpeg,drawings,34258,284,320,RGB,JPEG
1694.jpg,painting,16074,290,330,RGB,JPEG
i - 899.jpeg,sculpture,18744,240,320,RGB,JPEG
i - 75.jpeg,engraving,66905,476,320,RGB,JPEG
0192.jpg,painting,12973,290,360,RGB,JPEG
i - 1463.jpeg,sculpture,12799,348,320,RGB,JPEG
82.jpg,engraving,193905,749,602,RGB,JPEG
409.jpg,sculpture,40587,479,639,RGB,JPEG
i - 1060.jpeg,iconography,21948,320,320,RGB,JPEG
i - 1045.jpeg,iconography,28588,238,320,RGB,JPEG
i - 146.jpeg,iconography,26749,273,320,RGB,JPEG
1599.jpg,painting,14740,290,356,RGB,JPEG
1221.jpg,painting,7854,290,387,RGB,JPEG
i - 859.jpeg,iconography,19610,320,320,RGB,JPEG
i - 1139.jpeg,drawings,21231,277,320,RGB,JPEG
664.jpg,iconography,135041,650,734,RGB,JPEG
i - 260.jpeg,engraving,45042,322,320,RGB,JPEG
i - 66.jpeg,drawings,43234,464,320,RGB,JPEG
i - 1493.jpeg,iconography,22762,427,320,RGB,JPEG
i - 72.jpeg,sculpture,34890,400,200,RGB,JPEG
0245.jpg,painting,13909,290,388,RGB,JPEG
i - 200 20.25.37.jpeg,drawings,39452,373,320,RGB,JPEG
0010.jpg,painting,11480,290,320,RGB,JPEG
1624.jpg,painting,14740,290,356,RGB,JPEG
522.jpg,iconography,133621,346,464,RGB,JPEG
19.jpg,engraving,98992,600,800,RGB,JPEG
i - 213.jpeg,sculpture,19454,478,320,RGB,JPEG
download (29).jpeg,drawings,14438,275,183,RGB,JPEG
2155.jpg,painting,16311,290,314,RGB,JPEG
i - 603.jpeg,sculpture,39141,480,320,RGB,JPEG
i - 1439.jpeg,sculpture,15976,427,320,RGB,JPEG
i - 1404.jpeg,iconography,25044,320,320,RGB,JPEG
i - 218 20.26.46.jpeg,sculpture,20168,230,320,RGB,JPEG
download (24).jpeg,drawings,8777,274,184,RGB,JPEG
i - 1097.jpeg,iconography,22599,240,320,RGB,JPEG
i - 1296.jpeg,iconography,17653,320,320,RGB,JPEG
i - 386.jpeg,engraving,29340,237,320,RGB,JPEG
i - 1338.jpeg,sculpture,26859,480,318,RGB,JPEG
0784.jpg,painting,21780,290,329,RGB,JPEG
i - 1431.jpeg,iconography,18487,255,320,RGB,JPEG
i - 874.jpeg,sculpture,12307,212,320,RGB,JPEG
572.jpg,iconography,174187,500,597,RGB,JPEG
i - 182.jpeg,drawings,23275,388,320,RGB,JPEG
i - 30.jpeg,sculpture,18616,240,320,RGB,JPEG
i - 612.jpeg,sculpture,40445,427,320,RGB,JPEG
i - 1552.jpeg,iconography,23189,320,320,RGB,JPEG
183.jpg,sculpture,124108,449,700,RGB,JPEG
0568.jpg,painting,14564,290,361,RGB,JPEG
185 18.59.20.jpg,iconography,120563,562,698,RGB,JPEG
i - 97.jpeg,sculpture,14595,406,320,RGB,JPEG
376.jpg,sculpture,73947,709,935,RGB,JPEG
i - 1438.jpeg,sculpture,37747,480,320,RGB,JPEG
1621.jpg,painting,7854,290,387,RGB,JPEG
i - 1234.jpeg,sculpture,11864,218,320,RGB,JPEG
i - 186.jpeg,iconography,19484,240,320,RGB,JPEG
2285.jpg,painting,14129,290,254,RGB,JPEG
0654.jpg,painting,14424,290,346,RGB,JPEG
2097.jpg,painting,10540,290,244,RGB,JPEG
17.jpg,sculpture,92105,1200,630,RGB,JPEG
i - 80.jpeg,sculpture,14569,390,130,RGB,JPEG
1809.jpg,painting,17109,290,373,RGB,JPEG
0097 20.26.30.jpg,painting,10540,290,244,RGB,JPEG
i - 861.jpeg,iconography,18802,213,320,RGB,JPEG
i - 1270.jpeg,sculpture,18954,480,318,RGB,JPEG
1287.jpg,painting,23446,290,357,RGB,JPEG
i - 1085.jpeg,sculpture,5966,147,320,RGB,JPEG
i - 549.jpeg,iconography,33230,254,320,RGB,JPEG
i - 792.jpeg,drawings,41470,480,298,RGB,JPEG
459.png,iconography,1180780,624,705,RGB,PNG
i - 89.jpeg,sculpture,62028,480,319,RGB,JPEG
i - 273.jpeg,drawings,20305,269,320,RGB,JPEG
i - 505.jpeg,engraving,42661,476,320,RGB,JPEG
0171.jpg,painting,7854,290,387,RGB,JPEG
i - 467.jpeg,sculpture,18651,256,320,RGB,JPEG
i - 325 (1).jpeg,drawings,13274,211,320,RGB,JPEG
i - 1142.jpeg,sculpture,11957,213,320,RGB,JPEG
1864.jpg,painting,14272,290,365,RGB,JPEG
2268.jpg,painting,14564,290,361,RGB,JPEG
385.jpg,sculpture,139955,952,633,RGB,JPEG
i - 23.jpeg,engraving,32379,235,320,RGB,JPEG
i - 492.jpeg,iconography,38870,429,320,RGB,JPEG
i - 1381.jpeg,iconography,25660,261,320,RGB,JPEG
557.jpg,iconography,522029,639,700,RGB,JPEG
0973.jpg,painting,17526,290,376,RGB,JPEG
i - 316.jpeg,iconography,20501,240,320,RGB,JPEG
164.jpg,engraving,456891,747,1000,RGB,JPEG
2015.jpg,painting,11693,290,226,RGB,JPEG
i - 972.jpeg,drawings,30333,380,320,RGB,JPEG
0581.jpg,painting,23299,290,360,RGB,JPEG
0351.jpg,painting,18601,290,384,RGB,JPEG
i - 412.jpeg,drawings,26936,243,320,RGB,JPEG
i - 31.jpeg,drawings,25323,235,320,RGB,JPEG
i - 982.jpeg,iconography,37052,476,320,RGB,JPEG
1080.jpg,painting,10599,290,151,RGB,JPEG
i - 106.jpeg,drawings,27731,384,320,RGB,JPEG
1133.jpg,painting,8748,290,338,RGB,JPEG
i - 25.jpeg,drawings,33790,480,272,RGB,JPEG
i - 1113.jpeg,sculpture,23740,240,320,RGB,JPEG
i - 606.jpeg,iconography,17942,216,320,RGB,JPEG
1019.jpg,painting,16074,290,330,RGB,JPEG
images (27) 20.25.37.jpeg,drawings,8011,257,196,RGB,JPEG
0033.jpg,painting,19336,290,341,RGB,JPEG
0123.jpg,painting,17526,290,376,RGB,JPEG
0059.jpg,painting,13422,290,410,RGB,JPEG
i - 1153.jpeg,sculpture,20164,240,320,RGB,JPEG
i - 643.jpeg,iconography,18835,263,320,RGB,JPEG
i - 831.jpeg,iconography,20611,320,320,RGB,JPEG
i - 680.jpeg,iconography,32564,279,320,RGB,JPEG
0452.jpg,painting,16805,290,392,RGB,JPEG
i - 904.jpeg,sculpture,27635,480,300,RGB,JPEG
0634.jpg,painting,21659,290,362,RGB,JPEG
0261.jpg,painting,15647,290,348,RGB,JPEG
i - 332.jpeg,sculpture,16828,320,320,RGB,JPEG
114.jpg,iconography,144720,842,566,RGB,JPEG
i - 582.jpeg,engraving,16313,253,320,RGB,JPEG
2094.jpg,painting,16074,290,330,RGB,JPEG
0287.jpg,painting,12989,290,369,RGB,JPEG
340.jpeg,iconography,148476,550,688,RGB,JPEG
i - 868.jpeg,sculpture,13822,267,200,RGB,JPEG
i - 287.jpeg,iconography,30727,428,320,RGB,JPEG
i - 177.jpeg,drawings,26719,398,320,RGB,JPEG
74.jpg,engraving,176222,800,415,RGB,JPEG
i - 1004.jpeg,drawings,38013,457,320,RGB,JPEG
i - 205.jpeg,sculpture,8161,213,320,RGB,JPEG
128.jpg,engraving,154913,1000,630,RGB,JPEG
564.jpg,iconography,158952,450,600,RGB,JPEG
1347.jpg,painting,10540,290,244,RGB,JPEG
i - 696.jpeg,drawings,41703,408,320,RGB,JPEG
0056.jpg,painting,15456,290,263,RGB,JPEG
i - 707.jpeg,drawings,11178,387,320,RGB,JPEG
i - 109.jpeg,drawings,18906,238,320,RGB,JPEG
i - 1192.jpeg,sculpture,12646,213,320,RGB,JPEG
1438.jpg,painting,11480,290,320,RGB,JPEG
i - 349.jpeg,sculpture,23865,256,320,RGB,JPEG
i - 1109.jpeg,iconography,27220,378,320,RGB,JPEG
i - 708.jpeg,sculpture,10981,213,320,RGB,JPEG
326.jpg,iconography,76984,438,600,RGB,JPEG
436.jpg,iconography,201053,560,768,RGB,JPEG
i - 617.jpeg,drawings,11470,240,320,RGB,JPEG
i - 396.jpeg,engraving,21449,211,320,RGB,JPEG
3456_mainfoto_05.jpg,drawings,17906,290,368,RGB,JPEG
i - 173.jpeg,sculpture,36948,427,320,RGB,JPEG
41.jpg,engraving,53355,403,550,RGB,JPEG
1420.jpg,painting,13909,290,388,RGB,JPEG
1130.jpg,painting,9822,290,349,RGB,JPEG
80.jpg,sculpture,190923,1200,600,RGB,JPEG
i - 455.jpeg,engraving,36450,385,320,RGB,JPEG
i - 695.jpeg,iconography,18266,240,320,RGB,JPEG
i - 489.jpeg,sculpture,21869,240,320,RGB,JPEG
1313.jpg,painting,11480,290,320,RGB,JPEG
0182.jpg,painting,20440,290,401,RGB,JPEG
1629.jpg,painting,11379,290,225,RGB,JPEG
i - 831.jpeg,sculpture,16510,209,320,RGB,JPEG
1778.jpg,painting,11959,290,349,RGB,JPEG
0441.jpg,painting,12547,290,377,RGB,JPEG
1013.jpg,painting,11480,290,320,RGB,JPEG
1958.jpg,painting,3993,290,176,RGB,JPEG
i - 772.jpeg,drawings,27859,427,320,RGB,JPEG
i - 844.jpeg,sculpture,11223,240,320,RGB,JPEG
i - 959.jpeg,iconography,36665,431,320,RGB,JPEG
i - 286.jpeg,engraving,34144,231,320,RGB,JPEG
i - 780.jpeg,iconography,29263,480,247,RGB,JPEG
i - 981.jpeg,sculpture,7642,212,320,RGB,JPEG
747.jpg,iconography,526493,583,800,RGB,JPEG
i - 802.jpeg,iconography,27269,240,320,RGB,JPEG
1076.jpg,painting,16864,290,197,RGB,JPEG
i - 159.jpeg,iconography,34961,276,320,RGB,JPEG
654.jpg,iconography,195741,555,756,RGB,JPEG
i - 497.jpeg,drawings,12831,232,320,RGB,JPEG
533.jpg,iconography,79403,350,496,RGB,JPEG
0336.jpg,painting,12474,290,393,RGB,JPEG
71.jpg,iconography,454742,800,940,RGB,JPEG
i - 10.jpeg,iconography,27123,301,320,RGB,JPEG
0768.jpg,painting,14564,290,361,RGB,JPEG
i - 888.jpeg,sculpture,8768,214,320,RGB,JPEG
i - 1283.jpeg,iconography,27745,320,320,RGB,JPEG
i - 642.jpeg,sculpture,21094,240,320,RGB,JPEG
i - 1191.jpeg,iconography,21630,260,320,RGB,JPEG
434.jpg,iconography,898020,800,975,RGB,JPEG
i - 791.jpeg,sculpture,7580,229,320,RGB,JPEG
0851.jpg,painting,12898,290,375,RGB,JPEG
i - 550.jpeg,iconography,23023,320,320,RGB,JPEG
i - 971.jpeg,drawings,22662,241,320,RGB,JPEG
i - 444.jpeg,engraving,17495,241,320,RGB,JPEG
images (28).jpeg,drawings,5439,175,289,RGB,JPEG
1544.jpg,painting,16074,290,330,RGB,JPEG
2043.jpg,painting,14564,290,361,RGB,JPEG
i - 1287.jpeg,sculpture,28616,412,320,RGB,JPEG
0691.jpg,painting,12547,290,377,RGB,JPEG
i - 561.jpeg,iconography,19581,268,320,RGB,JPEG
0265.jpg,painting,11693,290,226,RGB,JPEG
1820.jpg,painting,13909,290,388,RGB,JPEG
i - 124.jpeg,engraving,46550,426,320,RGB,JPEG
1842.jpg,painting,12973,290,360,RGB,JPEG
i - 1189.jpeg,sculpture,17734,371,320,RGB,JPEG
i - 569.jpeg,iconography,25158,427,320,RGB,JPEG
0771.jpg,painting,7854,290,387,RGB,JPEG
1 18.59.20.jpg,iconography,124555,700,892,RGB,JPEG
168.jpg,iconography,133807,640,480,RGB,JPEG
i - 100.jpeg,sculpture,20253,359,320,RGB,JPEG
i - 694.jpeg,iconography,26580,320,320,RGB,JPEG
0157.jpg,painting,10445,290,354,RGB,JPEG
i - 584.jpeg,engraving,42302,321,320,RGB,JPEG
i - 116.jpeg,iconography,35341,279,320,RGB,JPEG
i - 926.jpeg,iconography,18518,246,320,RGB,JPEG
i - 814.jpeg,sculpture,16680,320,320,RGB,JPEG
0598.jpg,painting,17526,290,376,RGB,JPEG
1222.jpg,painting,10540,290,244,RGB,JPEG
i - 1076.jpeg,drawings,33282,394,256,RGB,JPEG
i - 759.jpeg,drawings,9183,241,320,RGB,JPEG
1978.jpg,painting,10448,290,151,RGB,JPEG
i - 947.jpeg,sculpture,29161,480,320,RGB,JPEG
2158.jpg,painting,32126,290,589,RGB,JPEG
335.jpg,sculpture,118580,350,454,RGB,JPEG
i - 151.jpeg,drawings,19748,480,302,RGB,JPEG
166.jpg,engraving,43709,454,282,RGB,JPEG
i - 485.jpeg,drawings,24348,478,320,RGB,JPEG
2321.jpg,painting,7854,290,387,RGB,JPEG
0454.jpg,painting,23772,290,355,RGB,JPEG
1720.jpg,painting,13909,290,388,RGB,JPEG
1224.jpg,painting,14740,290,356,RGB,JPEG
i - 603.jpeg,drawings,34924,451,320,RGB,JPEG
0020.jpg,painting,13909,290,388,RGB,JPEG
i - 57.jpeg,drawings,35923,282,320,RGB,JPEG
1587.jpg,painting,13507,290,213,RGB,JPEG
i - 744.jpeg,drawings,40471,281,320,RGB,JPEG
0803.jpg,painting,12019,290,343,RGB,JPEG
1551.jpg,painting,10213,290,364,RGB,JPEG
i - 549.jpeg,sculpture,30519,429,320,RGB,JPEG
1722.jpg,painting,10540,290,244,RGB,JPEG
i - 964.jpeg,sculpture,14229,322,320,RGB,JPEG
i - 84.jpeg,engraving,47261,433,320,RGB,JPEG
i - 395.jpeg,iconography,20765,240,320,RGB,JPEG
1137.jpg,painting,9170,290,189,RGB,JPEG
i - 1395.jpeg,iconography,25460,240,320,RGB,JPEG
i - 1161.jpeg,drawings,56092,454,320,RGB,JPEG
i - 860.jpeg,iconography,29190,320,320,RGB,JPEG
0094.jpg,painting,16074,290,330,RGB,JPEG
i - 595.jpeg,drawings,11706,252,320,RGB,JPEG
0477.jpg,painting,7036,290,187,RGB,JPEG
i - 518.jpeg,engraving,36843,357,320,RGB,JPEG
1493.jpg,painting,14564,290,361,RGB,JPEG
1058.jpg,painting,12596,290,202,RGB,JPEG
i - 785.jpeg,drawings,14297,223,320,RGB,JPEG
i - 481.jpeg,engraving,33790,224,320,RGB,JPEG
i - 558.jpeg,sculpture,16317,283,320,RGB,JPEG
0604.jpg,painting,14644,290,348,RGB,JPEG
424.jpg,iconography,199843,700,900,RGB,JPEG
i - 615.jpeg,iconography,25680,247,320,RGB,JPEG
i - 34.jpeg,iconography,42961,410,320,RGB,JPEG
i - 737.jpeg,drawings,23826,480,200,RGB,JPEG
i - 356.jpeg,sculpture,11969,479,320,RGB,JPEG
i - 1110.jpeg,iconography,13091,240,320,RGB,JPEG
i - 1498.jpeg,iconography,24237,320,320,RGB,JPEG
i - 1011.jpeg,sculpture,5740,256,320,RGB,JPEG
i - 382.jpeg,engraving,24904,204,320,RGB,JPEG
images (16).jpeg,drawings,7447,205,246,RGB,JPEG
1532.jpg,painting,15060,290,223,RGB,JPEG
i - 349.jpeg,engraving,71796,480,320,RGB,JPEG
0536.jpg,painting,11439,290,382,RGB,JPEG
i - 1092.jpeg,iconography,22956,285,320,RGB,JPEG
i - 1208.jpeg,drawings,51616,449,320,RGB,JPEG
2053.jpg,painting,14717,290,215,RGB,JPEG
1223.jpg,painting,17526,290,376,RGB,JPEG
1872.jpg,painting,10540,290,244,RGB,JPEG
3458_mainfoto_05.jpg,drawings,23468,290,426,RGB,JPEG
2211.jpg,painting,30810,290,251,RGB,JPEG
i - 596.jpeg,sculpture,7187,240,320,RGB,JPEG
i - 619.jpeg,iconography,24235,427,320,RGB,JPEG
i - 797.jpeg,iconography,19470,240,320,RGB,JPEG
i - 1013.jpeg,sculpture,8815,180,320,RGB,JPEG
i - 467.jpeg,iconography,24797,320,320,RGB,JPEG
i - 1449.jpeg,iconography,27651,275,320,RGB,JPEG
i - 1019.jpeg,iconography,16984,427,320,RGB,JPEG
1747.jpg,painting,10540,290,244,RGB,JPEG
i - 616.jpeg,iconography,37205,427,320,RGB,JPEG
366.jpg,engraving,165395,480,640,RGB,JPEG
i - 662 20.26.47.jpeg,sculpture,35266,480,320,RGB,JPEG
65.jpg,sculpture,18562,320,429,RGB,JPEG
0301.jpg,painting,14554,290,340,RGB,JPEG
0860.jpg,painting,16480,290,387,RGB,JPEG
i - 1327.jpeg,iconography,22579,269,320,RGB,JPEG
32.jpg,iconography,195307,738,479,RGB,JPEG
2115.jpg,painting,11693,290,226,RGB,JPEG
11.jpg,sculpture,64667,600,774,RGB,JPEG
0356.jpg,painting,22571,290,359,RGB,JPEG
1317.jpg,painting,12973,290,360,RGB,JPEG
i108.jpeg,sculpture,6972,229,320,RGB,JPEG
i - 517.jpeg,engraving,61286,407,320,RGB,JPEG
i - 305.jpeg,iconography,20697,260,320,RGB,JPEG
2243.jpg,painting,14564,290,361,RGB,JPEG
145.jpeg,engraving,230432,1000,690,RGB,JPEG
i - 131.jpeg,drawings,21614,178,320,RGB,JPEG
263.jpg,iconography,405909,800,634,RGB,JPEG
51.jpg,engraving,137711,700,481,RGB,JPEG
i - 733.jpeg,drawings,12933,253,320,RGB,JPEG
i - 195.jpeg,sculpture,33545,480,283,RGB,JPEG
42.jpg,iconography,276078,720,997,RGB,JPEG
i - 997.jpeg,sculpture,44790,480,320,RGB,JPEG
i - 1079.jpeg,sculpture,20076,480,320,RGB,JPEG
1195.jpg,painting,13909,290,388,RGB,JPEG
i - 365.jpeg,sculpture,7932,259,320,RGB,JPEG
i - 1488.jpeg,iconography,23840,280,320,RGB,JPEG
i - 533.jpeg,sculpture,12320,259,320,RGB,JPEG
i - 950.jpeg,sculpture,10206,212,320,RGB,JPEG
i - 183.jpeg,engraving,33291,421,320,RGB,JPEG
189.jpg,sculpture,44663,434,410,RGB,JPEG
i - 1322.jpeg,sculpture,11305,216,320,RGB,JPEG
i - 886.jpeg,sculpture,11112,320,320,RGB,JPEG
319.jpg,engraving,58799,500,417,RGB,JPEG
i - 1488.jpeg,sculpture,7959,199,320,RGB,JPEG
i - 829.jpeg,drawings,15170,240,320,RGB,JPEG
0899.jpg,painting,14740,290,356,RGB,JPEG
i - 815.jpeg,sculpture,9129,160,320,RGB,JPEG
i (23).jpeg,sculpture,19195,237,320,RGB,JPEG
2001.jpg,painting,16343,290,268,RGB,JPEG
i - 1018.jpeg,sculpture,27986,468,320,RGB,JPEG
0424.jpg,painting,14740,290,356,RGB,JPEG
i - 414.jpeg,sculpture,18438,240,320,RGB,JPEG
586.jpg,iconography,185842,450,613,RGB,JPEG
i - 471.jpeg,iconography,23551,480,270,RGB,JPEG
68.jpg,iconography,165765,900,800,RGB,JPEG
i - 1386.jpeg,sculpture,18230,480,320,RGB,JPEG
images (89).jpeg,drawings,8397,279,181,RGB,JPEG
i - 887.jpeg,sculpture,26211,381,320,RGB,JPEG
i - 40.jpeg,iconography,17188,427,320,RGB,JPEG
i - 477.jpeg,sculpture,8188,229,320,RGB,JPEG
i - 405.jpeg,drawings,30172,226,320,RGB,JPEG
0212.jpg,painting,8056,290,365,RGB,JPEG
441.jpg,iconography,56287,695,870,RGB,JPEG
216.jpg,engraving,114719,961,600,RGB,JPEG
i - 558.jpeg,iconography,28234,261,320,RGB,JPEG
i - 95.jpeg,drawings,17183,242,320,RGB,JPEG
439.jpg,iconography,71185,382,553,RGB,JPEG
i - 445.jpeg,engraving,50547,430,320,RGB,JPEG
i - 1342.jpeg,sculpture,31789,338,320,RGB,JPEG
i - 560.jpeg,engraving,54789,440,320,RGB,JPEG
i - 807.jpeg,iconography,12268,206,320,RGB,JPEG
i - 184.jpeg,sculpture,20481,239,320,RGB,JPEG
123.jpg,engraving,48273,334,450,RGB,JPEG
i - 237.jpeg,engraving,23186,221,320,RGB,JPEG
1117.jpg,painting,12973,290,360,RGB,JPEG
i - 1145.jpeg,sculpture,11180,212,320,RGB,JPEG
i - 1345.jpeg,iconography,20476,451,320,RGB,JPEG
159.jpg,engraving,114283,576,768,RGB,JPEG
i - 654.jpeg,drawings,30453,251,320,RGB,JPEG
601.jpg,iconography,135266,531,659,RGB,JPEG
i - 1064.jpeg,sculpture,29077,480,320,RGB,JPEG
i - 1265.jpeg,sculpture,14494,306,320,RGB,JPEG
i - 53.jpeg,sculpture,31403,479,320,RGB,JPEG
652.jpg,iconography,134207,500,464,RGB,JPEG
i - 237.jpeg,sculpture,11718,213,320,RGB,JPEG
i - 573.jpeg,engraving,52949,421,320,RGB,JPEG
i - 675.jpeg,drawings,11754,235,320,RGB,JPEG
i - 986.jpeg,iconography,22395,320,320,RGB,JPEG
2329.jpg,painting,9009,290,113,RGB,JPEG
i - 1160.jpeg,iconography,20826,263,320,RGB,JPEG
143.jpg,sculpture,44372,628,800,RGB,JPEG
i - 376.jpeg,engraving,15084,251,320,RGB,JPEG
1712.jpg,painting,13837,290,200,RGB,JPEG
i - 377.jpeg,engraving,43622,367,320,RGB,JPEG
i - 574.jpeg,sculpture,35159,480,252,RGB,JPEG
images (29).jpeg,drawings,8538,199,253,RGB,JPEG
i - 1514.jpeg,iconography,117811,649,900,RGB,JPEG
i - 217.jpeg,engraving,61603,447,320,RGB,JPEG
i - 1135.jpeg,drawings,19693,314,320,RGB,JPEG
i - 45.jpeg,iconography,25522,305,320,RGB,JPEG
199.jpg,engraving,98416,346,400,RGB,JPEG
i - 97.jpeg,engraving,25749,244,320,RGB,JPEG
1540.jpg,painting,11693,290,226,RGB,JPEG
0494.jpg,painting,16074,290,330,RGB,JPEG
i - 1438.jpeg,iconography,21926,255,320,RGB,JPEG
489.jpg,iconography,149118,701,551,RGB,JPEG
0669.jpg,painting,16074,290,330,RGB,JPEG
2235.jpg,painting,15558,290,313,RGB,JPEG
1186.jpg,painting,11439,290,382,RGB,JPEG
i - 383.jpeg,engraving,20028,224,320,RGB,JPEG
i - 608.jpeg,sculpture,22790,188,320,RGB,JPEG
i - 1054.jpeg,iconography,25678,427,320,RGB,JPEG
i - 823.jpeg,drawings,65262,465,320,RGB,JPEG
1873.jpg,painting,17526,290,376,RGB,JPEG
1734.jpg,painting,12020,290,408,RGB,JPEG
i - 519.jpeg,engraving,54775,480,266,RGB,JPEG
i - 1026.jpeg,iconography,30036,275,320,RGB,JPEG
i - 755.jpeg,drawings,14518,320,320,RGB,JPEG
0587.jpg,painting,10409,290,222,RGB,JPEG
i - 696.jpeg,iconography,26491,266,320,RGB,JPEG
i - 1195.jpeg,iconography,22424,266,320,RGB,JPEG
i - 677.jpeg,iconography,30260,320,320,RGB,JPEG
i - 669.jpeg,sculpture,30475,421,320,RGB,JPEG
i - 875.jpeg,drawings,13214,226,320,RGB,JPEG
136.jpg,sculpture,158348,721,936,RGB,JPEG
5770_mainfoto_05.jpg,sculpture,13409,290,334,RGB,JPEG
i - 1225.jpeg,iconography,43184,427,320,RGB,JPEG
0760.jpg,painting,16074,290,330,RGB,JPEG
i - 1109.jpeg,drawings,12065,210,320,RGB,JPEG
1561.jpg,painting,5223,290,207,RGB,JPEG
i - 442.jpeg,sculpture,39569,421,320,RGB,JPEG
i - 989.jpeg,sculpture,23713,240,320,RGB,JPEG
i - 315.jpeg,drawings,27280,427,320,RGB,JPEG
i - 258.jpeg,sculpture,49044,480,318,RGB,JPEG
download (26).jpeg,drawings,9818,279,181,RGB,JPEG
i - 773.jpeg,drawings,67616,480,285,RGB,JPEG
i - 6.jpeg,drawings,20955,227,320,RGB,JPEG
420.jpg,iconography,42521,550,358,RGB,JPEG
i - 231.jpeg,iconography,17406,213,320,RGB,JPEG
i - 1261.jpeg,sculpture,26541,480,270,RGB,JPEG
312.jpg,engraving,52172,417,430,RGB,JPEG
i - 1515 20.26.47.jpeg,sculpture,27661,320,320,RGB,JPEG
1390.jpg,painting,11693,290,226,RGB,JPEG
i - 918.jpeg,drawings,53015,480,264,RGB,JPEG
i - 814.jpeg,iconography,17482,255,320,RGB,JPEG
657.jpg,iconography,127306,512,768,RGB,JPEG
i - 508.jpeg,iconography,25720,275,320,RGB,JPEG
211.jpg,sculpture,96530,660,457,RGB,JPEG
5789_mainfoto_05.jpg,sculpture,15399,290,364,RGB,JPEG
1206.jpg,painting,12726,290,397,RGB,JPEG
58.jpg,engraving,278073,640,480,RGB,JPEG
0093.jpg,painting,14564,290,361,RGB,JPEG
i - 1453.jpeg,sculpture,36283,447,320,RGB,JPEG
0221.jpg,painting,7854,290,387,RGB,JPEG
i - 657.jpeg,iconography,27697,261,320,RGB,JPEG
i - 897.jpeg,drawings,60042,473,320,RGB,JPEG
1796.jpg,painting,7854,290,387,RGB,JPEG
126.jpeg,iconography,338876,400,450,RGB,JPEG
i - 726.jpeg,iconography,28355,427,320,RGB,JPEG
212.jpg,iconography,103045,736,736,RGB,JPEG
i - 168.jpeg,sculpture,33058,480,320,RGB,JPEG
i - 1064.jpeg,iconography,10920,240,320,RGB,JPEG
1818.jpg,painting,14564,290,361,RGB,JPEG
i - 965.jpeg,sculpture,12663,213,320,RGB,JPEG
233.jpg,sculpture,26993,428,567,RGB,JPEG
i - 447.jpeg,engraving,43045,414,320,RGB,JPEG
110.jpg,sculpture,171869,1080,720,RGB,JPEG
i - 174.jpeg,sculpture,45924,480,320,RGB,JPEG
i - 531.jpeg,iconography,15540,240,320,RGB,JPEG
235.jpg,iconography,99352,364,478,RGB,JPEG
112.jpeg,iconography,195413,700,895,RGB,JPEG
0763.jpg,painting,11480,290,320,RGB,JPEG
i - 1375.jpeg,iconography,20470,320,320,RGB,JPEG
54.jpg,iconography,220841,450,600,RGB,JPEG
i - 674.jpeg,iconography,36715,251,320,RGB,JPEG
21.jpg,engraving,142952,425,628,RGB,JPEG
i - 417.jpeg,drawings,35347,445,320,RGB,JPEG
i - 201.jpeg,drawings,9481,238,320,RGB,JPEG
2031.jpg,painting,16041,290,241,RGB,JPEG
i - 913.jpeg,drawings,12747,240,320,RGB,JPEG
0731.jpg,painting,10480,290,363,RGB,JPEG
2024.jpg,painting,14740,290,356,RGB,JPEG
1092.jpg,painting,12973,290,360,RGB,JPEG
2333.jpg,painting,15035,290,239,RGB,JPEG
365.jpg,sculpture,30726,564,878,RGB,JPEG
437.jpg,iconography,59465,400,557,RGB,JPEG
i - 1152.jpeg,sculpture,8005,213,320,RGB,JPEG
0348.jpg,painting,17526,290,376,RGB,JPEG
i - 30.jpeg,drawings,18246,229,320,RGB,JPEG
i - 1528.jpeg,iconography,16081,196,320,RGB,JPEG
i - 473.jpeg,engraving,34848,231,320,RGB,JPEG
i - 418.jpeg,engraving,27360,249,320,RGB,JPEG
717.jpg,iconography,149400,688,800,RGB,JPEG
i - 66.jpeg,engraving,30708,248,320,RGB,JPEG
0185.jpg,painting,19993,290,433,RGB,JPEG
1207.jpg,painting,14527,290,358,RGB,JPEG
1191.jpg,painting,12547,290,377,RGB,JPEG
i - 530.jpeg,engraving,41377,448,320,RGB,JPEG
1230.jpg,painting,19218,290,361,RGB,JPEG
247.jpg,iconography,184429,590,720,RGB,JPEG
0396.jpg,painting,7854,290,387,RGB,JPEG
i - 880.jpeg,sculpture,12356,240,320,RGB,JPEG
56.png,sculpture,111853,688,686,RGB,JPEG
i - 1497.jpeg,sculpture,9621,359,320,RGB,JPEG
3135_mainfoto_05.jpg,sculpture,34750,290,434,RGB,JPEG
363.jpg,engraving,37659,331,400,RGB,JPEG
i - 1558.jpeg,iconography,149275,600,708,RGB,JPEG
i - 418.jpeg,iconography,16766,242,320,RGB,JPEG
i - 847.jpeg,sculpture,35809,427,320,RGB,JPEG
1349.jpg,painting,14740,290,356,RGB,JPEG
0159.jpg,painting,15726,290,374,RGB,JPEG
i - 699.jpeg,iconography,16657,231,320,RGB,JPEG
